category,product_name,product_url,price,old_price,discount,reviews,rating,price_drop,discount_pct,popularity_score
phones,TOPK D37 Magnetic Car Phone Holder 2 in 1 Handsfree Stand Phone Mount for Dashboard / Air Vent for iPhone/Samsung Android,https://www.banggood.com/TOPK-D37-Magnetic-Car-Phone-Holder-2-in-1-Handsfree-Stand-Phone-Mount-for-Dashboard-or-Air-Vent-for-iPhone-or-Samsung-Android-p-2039494.html?cur_warehouse=CN&ID=514178&rmmds=search,10.06,14.98,33,0,0.0,4.92,32.84,0.0
phones,ESSAGER ES-ZJ34 Car Air Vent Phone Holder Mount One Hand Operation 360° Rotation Adjustable Strong Grip Universal for iPhone Android Smartphones,https://www.banggood.com/ESSAGER-ES-ZJ34-Car-Air-Vent-Phone-Holder-Mount-One-Hand-Operation-360-Rotation-Adjustable-Strong-Grip-Universal-for-iPhone-Android-Smartphones-p-2039774.html?cur_warehouse=CN&ID=6287830&rmmds=search,12.38,15.48,20,0,0.0,3.0999999999999996,20.03,0.0
phones,Essager ES-ZJ35 Magnetic Phone Mount with Suction Cup Base Strong Vacuum Adsorption 360° Rotation N52 Magnet Car Phone Holder Universal Compatible with iPhone Android for Car Home Office Hands-Free,https://www.banggood.com/Essager-ES-ZJ35-Magnetic-Phone-Mount-with-Suction-Cup-Base-Strong-Vacuum-Adsorption-360-Rotation-N52-Magnet-Car-Phone-Holder-Universal-Compatible-with-iPhone-Android-for-Car-Home-Office-Hands-Free-p-2039775.html?cur_warehouse=CN&ID=6287830&rmmds=search,12.38,23.22,47,0,0.0,10.839999999999998,46.68,0.0
phones,UGREEN LP845 Magnetic Car Phone Holder Air Vent Mount with N52 Magnets Air Vent 360° Rotation Universal for iPhone 16 16 Pro 15 14 13 Pro Max for HUAWEI for SAMSUNG,https://www.banggood.com/UGREEN-LP845-Magnetic-Car-Phone-Holder-Air-Vent-Mount-with-N52-Magnets-Air-Vent-360-Rotation-Universal-for-iPhone-16-16-Pro-15-14-13-Pro-Max-for-HUAWEI-for-SAMSUNG-p-2039776.html?cur_warehouse=CN&ID=6287830&rmmds=search,14.7,20.12,27,0,0.0,5.420000000000002,26.94,0.0
phones,ESSAGER T2 Magnetic Wireless Car Charger 15W Fast Charging with Semiconductor Cooling 360° Rotation Phone Mount for Vent Dash Mount,https://www.banggood.com/ESSAGER-T2-Magnetic-Wireless-Car-Charger-15W-Fast-Charging-with-Semiconductor-Cooling-360-Rotation-Phone-Mount-for-Vent-Dash-Mount-p-2039778.html?cur_warehouse=CN&ID=6334496&rmmds=search,20.12,23.22,13,0,0.0,3.099999999999998,13.35,0.0
phones,Car Vacuum Suction Phone Holder Double-Sided Suction Cup 360° Rotatable Multi-Angle Adjustable Ultra-Strong Vacuum Adsorption,https://www.banggood.com/Car-Vacuum-Suction-Phone-Holder-Double-Sided-Suction-Cup-360-Rotatable-Multi-Angle-Adjustable-Ultra-Strong-Vacuum-Adsorption-p-2034421.html?cur_warehouse=CN&ID=6287830&rmmds=search,11.3,15.48,27,1,5.0,4.18,27.0,5.0
phones,Baseus PrimeTrip VC1 Pro Qi2 15W Magnetic Wireless Car Charger Mount Built-in Cooling Fan Fast Charging for iPhone 16 15 14 for Samsung Xiaomi Air Vent Phone Holder,https://www.banggood.com/Baseus-PrimeTrip-VC1-Pro-Qi2-15W-Magnetic-Wireless-Car-Charger-Mount-Built-in-Cooling-Fan-Fast-Charging-for-iPhone-16-15-14-for-Samsung-Xiaomi-Air-Vent-Phone-Holder-p-2034856.html?cur_warehouse=CN&ID=6287830&rmmds=search,38.7,54.18,29,0,0.0,15.479999999999997,28.57,0.0
phones,K009 Vacuum Magnetic Car Phone Holder Strong N52 Magnets 18N Force Mechanical Suction Cup Stable Three-Axis Design High Load 7kg Universal for Car Dashboard Glass Panel,https://www.banggood.com/K009-Vacuum-Magnetic-Car-Phone-Holder-Strong-N52-Magnets-18N-Force-Mechanical-Suction-Cup-Stable-Three-Axis-Design-High-Load-7kg-Universal-for-Car-Dashboard-Glass-Panel-p-2034857.html?cur_warehouse=CN&ID=6332945&rmmds=search,15.48,23.22,33,0,0.0,7.739999999999998,33.33,0.0
phones,SD06 66W Fast Magnetic Wireless Car Charger Holder Built-in 70cm Retractable Cable 15W Wireless Charging Infrared Sensor Auto Open and Close Car Air Vent Mount Bracket for Smartphone for iPhone 16 Pro Max 15 Pro 14 13 for Huawei Pura X for Xiaomi 15 Ultra,https://www.banggood.com/SD06-66W-Fast-Magnetic-Wireless-Car-Charger-Holder-Built-in-70cm-Retractable-Cable-15W-Wireless-Charging-Infrared-Sensor-Auto-Open-and-Close-Car-Air-Vent-Mount-Bracket-for-Smartphone-for-iPhone-16-Pro-Max-15-Pro-14-13-for-Huawei-Pura-X-for-Xiaomi-15-Ultra-p-2034859.html?cur_warehouse=CN&ID=6332495&rmmds=search,23.22,30.96,25,1,4.0,7.740000000000002,25.0,4.0
phones,JJC Snapgrip Magnetic Phone Grip Stand with bluetooth Remote 17 Heavy-Duty Magnets 5.1lbs MagSafes Tripod Mount 180°Rotation for iPhone 16 15 14 Vlog Selfie Video,https://www.banggood.com/JJC-Snapgrip-Magnetic-Phone-Grip-Stand-with-bluetooth-Remote-17-Heavy-Duty-Magnets-5_1lbs-MagSafes-Tripod-Mount-180Rotation-for-iPhone-16-15-14-Vlog-Selfie-Video-p-2034864.html?cur_warehouse=CN&ID=6287830&rmmds=search,23.22,38.7,40,0,0.0,15.480000000000004,40.0,0.0
phones,Foldable Magnetic Vacuum Phone Holder 360° Electric Suction Car Mount Double-Sided Swivel Stand for Car Mirror Gym Kitchen,https://www.banggood.com/Foldable-Magnetic-Vacuum-Phone-Holder-360-Electric-Suction-Car-Mount-Double-Sided-Swivel-Stand-for-Car-Mirror-Gym-Kitchen-p-2034873.html?cur_warehouse=CN&ID=6287830&rmmds=search,9.28,15.2,39,1,5.0,5.92,38.95,5.0
phones,Wireless Charging Car-mounted HUD Car HUD Head-Up Display Projection Folding Holder Driving Navigation Mobile Phone Holder for Cars Trucks,https://www.banggood.com/Wireless-Charging-Car-mounted-HUD-Car-HUD-Head-Up-Display-Projection-Folding-Holder-Driving-Navigation-Mobile-Phone-Holder-for-Cars-Trucks-p-2035228.html?cur_warehouse=CN&ID=6292509&rmmds=search,7.73,12.69,39,1,4.0,4.959999999999999,39.09,4.0
phones,Waterproof Motorcycle Bike Mobile Phone Holder Magnetic Universal Bicycle GPS 360° Swivel Adjustable Motorcycle Cellphone Holder,https://www.banggood.com/Waterproof-Motorcycle-Bike-Mobile-Phone-Holder-Magnetic-Universal-Bicycle-GPS-360-Swivel-Adjustable-Motorcycle-Cellphone-Holder-p-2035830.html?cur_warehouse=CN&ID=6330027&rmmds=search,12.38,15.48,20,1,5.0,3.0999999999999996,20.03,5.0
phones,Desktop Mobile Phone Wireless Charger Stand Aluminum Desk Holder Dock for Magsafes Charger for iPhone 16/15/14/13/12 Pro Max for Huawei Pua X for Samsung Galaxy S25 Ultra,https://www.banggood.com/Desktop-Mobile-Phone-Wireless-Charger-Stand-Aluminum-Desk-Holder-Dock-for-Magsafes-Charger-for-iPhone-16-or-15-or-14-or-13-or-12-Pro-Max-for-Huawei-Pua-X-for-Samsung-Galaxy-S25-Ultra-p-2035849.html?cur_warehouse=CN&ID=224&rmmds=search,15.48,20.12,23,0,0.0,4.640000000000001,23.06,0.0
phones,Universal Car Phone Holder Wireless Charging for iPhone 16 15 14 Pro Max for Samsung Fast Charger Magnetic Mount,https://www.banggood.com/Universal-Car-Phone-Holder-Wireless-Charging-for-iPhone-16-15-14-Pro-Max-for-Samsung-Fast-Charger-Magnetic-Mount-p-2035850.html?cur_warehouse=CN&ID=6333269&rmmds=search,17.8,38.7,54,2,5.0,20.900000000000002,54.01,10.0
phones,Strong Magnetic Phone Holder Car Stand Foldable Alloy Car Phone Holder Stand Magnet Car Mobile Bracket for iPhone 16 16 Pro for Samsung Galaxy S25 Ultra for Xiaomi 15pro,https://www.banggood.com/Strong-Magnetic-Phone-Holder-Car-Stand-Foldable-Alloy-Car-Phone-Holder-Stand-Magnet-Car-Mobile-Bracket-for-iPhone-16-16-Pro-for-Samsung-Galaxy-S25-Ultra-for-Xiaomi-15pro-p-2035923.html?cur_warehouse=CN&ID=6333367&rmmds=search,17.02,23.22,27,0,0.0,6.199999999999999,26.7,0.0
phones,Joyroom Dashboard Car Phone Holder One-Handed Operation 360° Rotation Car Navigation Phone Holder Mount For 4.7-7'',https://www.banggood.com/Joyroom-Dashboard-Car-Phone-Holder-One-Handed-Operation-360-Rotation-Car-Navigation-Phone-Holder-Mount-For-4_7-7-Phones-p-2035935.html?cur_warehouse=CN&ID=6287830&rmmds=search,11.6,15.48,25,0,0.0,3.880000000000001,25.06,0.0
phones,Car Center Console Mobile Phone Navigation Holder Anti-Slip Pad Mobile Phone Holder Instrument Panel Car Mobile Phone Holder,https://www.banggood.com/Car-Center-Console-Mobile-Phone-Navigation-Holder-Anti-Slip-Pad-Mobile-Phone-Holder-Instrument-Panel-Car-Mobile-Phone-Holder-p-2035997.html?cur_warehouse=CN&ID=6287830&rmmds=search,12.38,20.43,39,1,5.0,8.049999999999999,39.4,5.0
phones,Foldable Adjustable Magnetic Phone Holder 360 Degree Swivel Mount for Car Dashboard Table and Glass,https://www.banggood.com/Foldable-Adjustable-Magnetic-Phone-Holder-360-Degree-Swivel-Mount-for-Car-Dashboard-Table-and-Glass-p-2036117.html?cur_warehouse=CN&ID=6287830&rmmds=search,6.19,12.38,50,0,0.0,6.19,50.0,0.0
