category,product_name,product_url,price,old_price,discount,reviews,rating
smartwatches,ET620 1.57 inch HD Screen Non-invasive Blood Glucose HRV Tracking ECG bluetooth Call Heart Rate Blood Pressure SpO2 Measurement Sleep Monitor Funciton Multi-sport Modes Music Playback IP67 Waterproof Smart Watch,https://www.banggood.com/ET620-1_57-inch-HD-Screen-Non-invasive-Blood-Glucose-HRV-Tracking-ECG-bluetooth-Call-Heart-Rate-Blood-Pressure-SpO2-Measurement-Sleep-Monitor-Funciton-Multi-sport-Modes-Music-Playback-IP67-Waterproof-Smart-Watch-p-2002180.html?cur_warehouse=CN&ID=6323734&rmmds=search,£61.93,£100.63,39% Off,3 reviews,5.00
smartwatches,QX11 1.96inch HD Screen bluetooth Call Heart Rate Blood Pressure SpO2 Monitor Breath Training SOS Sleep Monitoring Multi-sport Modes Music Playback 3ATM Waterproof Smart Watch,https://www.banggood.com/QX11-1_96inch-HD-Screen-bluetooth-Call-Heart-Rate-Blood-Pressure-SpO2-Monitor-Breath-Training-SOS-Sleep-Monitoring-Multi-sport-Modes-Music-Playback-3ATM-Waterproof-Smart-Watch-p-2008513.html?cur_warehouse=CN&ID=6287830&rmmds=search,£23.22,£38.70,40% Off,9 reviews,4.89
smartwatches,[75 Days Standby]Rogbid Mille 1.91 inch IPS 5ATM IP69K Waterproof BT5.3 Heart Rate Blood Pressure SpO2 Monitor Fitness Tracker Outdoor Rugged Smart Watch,https://www.banggood.com/75-Days-StandbyRogbid-Mille-1_91-inch-IPS-5ATM-IP69K-Waterproof-BT5_3-Heart-Rate-Blood-Pressure-SpO2-Monitor-Fitness-Tracker-Outdoor-Rugged-Smart-Watch-p-1985828.html?cur_warehouse=CN&ID=6287830&rmmds=search,£46.44,£61.93,25% Off,85 reviews,4.71
smartwatches,[World Premiere]Zeblaze Beyond 3 Plus Built-in GPS & Route Import 1.78 inch AMOLED Display 3 ATM Swimming Stainless Steel Navigation Crown Lightweight Health Monitoring Smart Watch,https://www.banggood.com/World-PremiereZeblaze-Beyond-3-Plus-Built-in-GPS-and-Route-Import-1_78-inch-AMOLED-Display-3-ATM-Swimming-Stainless-Steel-Navigation-Crown-Lightweight-Health-Monitoring-Smart-Watch-p-2027729.html?cur_warehouse=CN&ID=6287849&rmmds=search,£27.09,£54.18,50% Off,3 reviews,4.67
smartwatches,DT Ultra Mate 1.5inch HD Screen bluetooth Call PPG+ECG Heart Rate Blood Oxygen Monitor Breath Training Sleep Monitoring GPS NFC Function Multi-sport Modes Music Playback IP68 Waterproof Smart Watch,https://www.banggood.com/DT-Ultra-Mate-1_5inch-HD-Screen-bluetooth-Call-PPG+ECG-Heart-Rate-Blood-Oxygen-Monitor-Breath-Training-Sleep-Monitoring-GPS-NFC-Function-Multi-sport-Modes-Music-Playback-IP68-Waterproof-Smart-Watch-p-2018259.html?cur_warehouse=CN&ID=6287830&rmmds=search,£25.54,£46.44,45% Off,2 reviews,3.00
smartwatches,DTM1 1.43 inch AMOLED Display AI Voice Assistant GPS bluetooth Call Heart Rate Monitor Breathe Training Sleep Monitoring Multi-sport Modes Music Playback IP68 Waterproof Smart Watch,https://www.banggood.com/DTM1-1_43-inch-AMOLED-Display-AI-Voice-Assistant-GPS-bluetooth-Call-Heart-Rate-Monitor-Breathe-Training-Sleep-Monitoring-Multi-sport-Modes-Music-Playback-IP68-Waterproof-Smart-Watch-p-2021862.html?cur_warehouse=CN&ID=6287853&rmmds=search,£25.54,£54.18,53% Off,1 review,5.00
smartwatches,DT108 1.96inch HD Screen GPS Track AI Voice Assistant bluetooth Call Heart Rate Blood Oxygen Monitor Sleep Monitoring Electrocardiogram Function Multi-sport Modes Music Playback IP68 Waterproof Smart Watch,https://www.banggood.com/DT108-1_96inch-HD-Screen-GPS-Track-AI-Voice-Assistant-bluetooth-Call-Heart-Rate-Blood-Oxygen-Monitor-Sleep-Monitoring-Electrocardiogram-Function-Multi-sport-Modes-Music-Playback-IP68-Waterproof-Smart-Watch-p-2021859.html?cur_warehouse=CN&ID=6287853&rmmds=search,£15.48,£46.44,67% Off,0 review,
smartwatches,DT NO.I DT5 Sport 1.45inch HD Screen GPS Compass bluetooth Call Heart Rate Blood Pressure Blood Oxygen Monitor Sleep Monitoring Multi-sport Modes Music Playback IP68 Waterproof Smart Watch,https://www.banggood.com/DT-NO_I-DT5-Sport-1_45inch-HD-Screen-GPS-Compass-bluetooth-Call-Heart-Rate-Blood-Pressure-Blood-Oxygen-Monitor-Sleep-Monitoring-Multi-sport-Modes-Music-Playback-IP68-Waterproof-Smart-Watch-p-2023466.html?cur_warehouse=CN&ID=6287830&rmmds=search,£25.54,£69.67,63% Off,0 review,
smartwatches,SENBONO D16 2.01-Inch HD Screen Strong Flashlight 35 Days Battery Life Heart Rate Blood Pressure Blood Oxygen Monitor Sleep Monitoring Breathing Exercise Multi-sport Modes IP68 Waterproof Smart Watch,https://www.banggood.com/SENBONO-D16-2_01-Inch-HD-Screen-Strong-Flashlight-35-Days-Battery-Life-Heart-Rate-Blood-Pressure-Blood-Oxygen-Monitor-Sleep-Monitoring-Breathing-Exercise-Multi-sport-Modes-IP68-Waterproof-Smart-Watch-p-2036388.html?cur_warehouse=CN&ID=6287830&rmmds=search,£15.48,£54.18,71% Off,0 review,
smartwatches,C60 1.1inch AMOLED Display Heart Rate Blood Pressure Blood Oxygen Monitor Body Temperature Record Sleep Monitoring Multi-sport Modes Music Playback 3ATM Waterproof Smart Watch,https://www.banggood.com/C60-1_1inch-AMOLED-Display-Heart-Rate-Blood-Pressure-Blood-Oxygen-Monitor-Body-Temperature-Record-Sleep-Monitoring-Multi-sport-Modes-Music-Playback-3ATM-Waterproof-Smart-Watch-p-2023723.html?cur_warehouse=CN&ID=6287851&rmmds=search,£19.35,£46.44,58% Off,2 reviews,5.00
smartwatches,Rogbid Model X 2.1 inch HD 400*454 Pixels 4G LTE 4GB+128GB GPS 13MP+5MP Dual Camera IP68 Waterproof Face Unlock Ceramic Smart Watch Phone,https://www.banggood.com/Rogbid-Model-X-2_1-inch-HD-400+454-Pixels-4G-LTE-4GB+128GB-GPS-13MP+5MP-Dual-Camera-IP68-Waterproof-Face-Unlock-Ceramic-Smart-Watch-Phone-p-1998611.html?cur_warehouse=CN&ID=6287830&rmmds=search,£232.24,£309.66,25% Off,15 reviews,4.07
smartwatches,A70 1.96 inch HD Screen Heart Rate Blood Pressure SpO2 Monitor BT5.0 600mAh TWS Connection Smart Watch,https://www.banggood.com/A70-1_96-inch-HD-Screen-Heart-Rate-Blood-Pressure-SpO2-Monitor-BT5_0-600mAh-TWS-Connection-Smart-Watch-p-1993810.html?cur_warehouse=CN&rmmds=search,£46.44,£69.67,33% Off,5 reviews,5.00
smartwatches,DT NO.I DT101 1.9inch HD Screen GPS NFC Function AI Voice Assistant PPG+ECG bluetooth Call Heart Rate Blood Oxygen Monitor Sleep Monitoring Women's Health Multi-sport Modes Music Playback IP68 Waterproof Smart Watch,https://www.banggood.com/DT-NO_I-DT101-1_9inch-HD-Screen-GPS-NFC-Function-AI-Voice-Assistant-PPG+ECG-bluetooth-Call-Heart-Rate-Blood-Oxygen-Monitor-Sleep-Monitoring-Womens-Health-Multi-sport-Modes-Music-Playback-IP68-Waterproof-Smart-Watch-p-2022165.html?cur_warehouse=CN&ID=6287830&rmmds=search,£20.89,£61.93,66% Off,0 review,
smartwatches,Rogbid Tank S3 Pro 2.02inch HD Screen 710mAh Battery AI Voice Assistant bluetooth Call Heart Rate Blood Pressure Blood Oxygen Monitor Sleep Monitoring Multi-sport Modes Music Playback 5ATM&IP69 Waterproof Smart Watch,https://www.banggood.com/Rogbid-Tank-S3-Pro-2_02inch-HD-Screen-710mAh-Battery-AI-Voice-Assistant-bluetooth-Call-Heart-Rate-Blood-Pressure-Blood-Oxygen-Monitor-Sleep-Monitoring-Multi-sport-Modes-Music-Playback-5ATMandIP69-Waterproof-Smart-Watch-p-2024426.html?cur_warehouse=CN&ID=6287830&rmmds=search,£46.44,£69.67,33% Off,10 reviews,4.90
smartwatches,DT NO.I DT Watch Ultra 1.5inch HD Screen Built-in 4GB Memory 1000+ Songs ChatGPT/Recorder/NFC/Compass bluetooth Call Heart Rate Blood Oxygen Monitor Sleep Monitoring Multi-sport Modes Music Playback IP68 Waterproof Smart Watch,https://www.banggood.com/DT-NO_I-DT-Watch-Ultra-1_5inch-HD-Screen-Built-in-4GB-Memory-1000+-Songs-ChatGPT-or-Recorder-or-NFC-or-Compass-bluetooth-Call-Heart-Rate-Blood-Oxygen-Monitor-Sleep-Monitoring-Multi-sport-Modes-Music-Playback-IP68-Waterproof-Smart-Watch-p-2021843.html?cur_warehouse=CN&ID=6287830&rmmds=search,£23.22,£46.44,50% Off,7 reviews,4.14
smartwatches,"ROKID MAX AR Smart Glasses with 160"" Micro-OLED Display HDCP Supported & Cloud Gaming 50° Viewing 120Hz Google Play Media Streaming 75g Lightweight Smart Video Glasses for Android/iOS/Windows/Console",https://www.banggood.com/ROKID-MAX-AR-Smart-Glasses-with-160-inch-Micro-OLED-Display-HDCP-Supported-and-Cloud-Gaming-50-Viewing-120Hz-Google-Play-Media-Streaming-75g-Lightweight-Smart-Video-Glasses-for-Android-or-iOS-or-Windows-or-Console-p-2024982.html?cur_warehouse=CN&ID=6329891&rmmds=search,£46.44,£54.18,14% Off,3 reviews,5.00
smartwatches,Versatile 3 In 1 Wireless Charger For Smartphone Tablet Smartwatch Earbuds LED Light Quick Charging Dock,https://www.banggood.com/Versatile-3-In-1-Wireless-Charger-For-Smartphone-Tablet-Smartwatch-Earbuds-LED-Light-Quick-Charging-Dock-p-2036077.html?cur_warehouse=CN&ID=6333444&rmmds=search,£30.96,£38.70,20% Off,0 review,
smartwatches,LILYGO T-Watch S3 Plus Smartwatch ESP32-S3 16MB Flash 8MB PS RAM Wi-Fi BLE LoRa 1.54-inch IPS LCD Programming Watch,https://www.banggood.com/LILYGO-T-Watch-S3-Plus-Smartwatch-ESP32-S3-16MB-Flash-8MB-PS-RAM-Wi-Fi-BLE-LoRa-1_54-inch-IPS-LCD-Programming-Watch-p-2030367.html?cur_warehouse=CN&ID=513922&rmmds=search,£63.47,,,1 review,5.00
smartwatches,LILYGO T-Watch S3 ESP32-S3 Programmable Smartwatch LoRa WiFi Bluetooth 5.0 Touchscreen 1.54 Inch IPS Display Arduinos IDE VS Code,https://www.banggood.com/LILYGO-T-Watch-S3-ESP32-S3-Programmable-Smartwatch-LoRa-WiFi-Bluetooth-5_0-Touchscreen-1_54-Inch-IPS-Display-Arduinos-IDE-VS-Code-p-2026016.html?cur_warehouse=CN&ID=6287853&rmmds=search,£41.02,£61.93,34% Off,0 review,
